epoch,loss,precision@10,recall@10,hit_rate@10,ndcg@10,is_best
1,0.5845054335815391,0.148,0.12556532643279036,0.63,0.17545369949571263,True
2,0.4605166856775579,0.24700000000000003,0.25020745338035444,0.8,0.33185333770880576,True
3,0.4189474447486327,0.3410000000000001,0.3660485979155574,0.88,0.4565901678166423,True
4,0.37724804724614647,0.395,0.44047139905941785,0.89,0.537106825897065,True
5,0.3375771365214869,0.42300000000000004,0.5181590751427595,0.94,0.5913934108777223,True
6,0.31112715540472996,0.4279999999999999,0.5095945416493445,0.93,0.5935298172523841,True
7,0.2956828923569512,0.433,0.5207784357443183,0.93,0.603247521037294,True
8,0.28546011755146933,0.429,0.5169912062823129,0.93,0.6062938648837778,True
9,0.27752907220850287,0.42800000000000005,0.5142990125460015,0.93,0.6006267865258269,False
10,0.27185717962451816,0.428,0.504694933998189,0.91,0.6052273277598873,False
