recommender,userId,precision@5,recall@5,hit_rate@5,ndcg@5,precision@10,recall@10,hit_rate@10,ndcg@10,run_id,run_timestamp,run_label,candidate_mode,negatives_per_user,max_users,users_evaluated,positive_threshold,k_values,include_neumf,include_hybrid,hybrid_weights,diversity_weight,avg_candidates_per_user
popularity_bayes,25,0.8,0.8,1.0,0.8539316501572937,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
popularity_bayes,25,,,,,0.4,0.8,1.0,0.8539316501572937,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
genre_personalized_popularity,25,0.6,0.6,1.0,0.6992148198508501,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
genre_personalized_popularity,25,,,,,0.4,0.8,1.0,0.8062079522181139,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
random,25,0.2,0.2,1.0,0.3391602052736161,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
random,25,,,,,0.1,0.2,1.0,0.3391602052736161,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
item_item_knn,25,0.8,0.8,1.0,0.8687949224876582,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
item_item_knn,25,,,,,0.4,0.8,1.0,0.8687949224876582,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
hybrid_ranker,25,0.8,0.8,1.0,0.8687949224876582,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
hybrid_ranker,25,,,,,0.4,0.8,1.0,0.8687949224876582,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_rating_model,25,0.2,0.2,1.0,0.3391602052736161,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_rating_model,25,,,,,0.1,0.2,1.0,0.3391602052736161,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_ranking_model,25,0.4,0.4,1.0,0.5531464700081437,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_ranking_model,25,,,,,0.3,0.6,1.0,0.6739577727076379,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
popularity_bayes,35,0.0,0.0,0.0,0.0,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
popularity_bayes,35,,,,,0.1,0.25,1.0,0.13905617951077562,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
genre_personalized_popularity,35,0.0,0.0,0.0,0.0,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
genre_personalized_popularity,35,,,,,0.0,0.0,0.0,0.0,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
random,35,0.0,0.0,0.0,0.0,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
random,35,,,,,0.1,0.25,1.0,0.11751610475642714,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
item_item_knn,35,0.4,0.5,1.0,0.6366824387328317,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
item_item_knn,35,,,,,0.2,0.5,1.0,0.6366824387328317,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
hybrid_ranker,35,0.4,0.5,1.0,0.44149241373678083,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
hybrid_ranker,35,,,,,0.2,0.5,1.0,0.44149241373678083,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_rating_model,35,0.0,0.0,0.0,0.0,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_rating_model,35,,,,,0.0,0.0,0.0,0.0,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_ranking_model,35,0.2,0.25,1.0,0.24630238874073,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_ranking_model,35,,,,,0.1,0.25,1.0,0.24630238874073,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
popularity_bayes,38,0.2,0.25,1.0,0.3903800499921017,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
popularity_bayes,38,,,,,0.3,0.75,1.0,0.6436579276931672,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
genre_personalized_popularity,38,0.0,0.0,0.0,0.0,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
genre_personalized_popularity,38,,,,,0.0,0.0,0.0,0.0,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
random,38,0.2,0.25,1.0,0.16812753627111746,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
random,38,,,,,0.1,0.25,1.0,0.16812753627111746,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
item_item_knn,38,0.4,0.5,1.0,0.36331756126716835,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
item_item_knn,38,,,,,0.3,0.75,1.0,0.49344424459786884,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
hybrid_ranker,38,0.2,0.25,1.0,0.24630238874073,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
hybrid_ranker,38,,,,,0.2,0.5,1.0,0.369453583111095,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_rating_model,38,0.0,0.0,0.0,0.0,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_rating_model,38,,,,,0.0,0.0,0.0,0.0,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_ranking_model,38,0.2,0.25,1.0,0.3903800499921017,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_ranking_model,38,,,,,0.2,0.5,1.0,0.5135312443624667,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
popularity_bayes,44,0.0,0.0,0.0,0.0,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
popularity_bayes,44,,,,,0.0,0.0,0.0,0.0,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
genre_personalized_popularity,44,0.2,0.25,1.0,0.3903800499921017,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
genre_personalized_popularity,44,,,,,0.1,0.25,1.0,0.3903800499921017,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
random,44,0.0,0.0,0.0,0.0,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
random,44,,,,,0.1,0.25,1.0,0.11751610475642714,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
item_item_knn,44,0.2,0.25,1.0,0.15101961822780524,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
item_item_knn,44,,,,,0.2,0.5,1.0,0.2685357229842324,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
hybrid_ranker,44,0.2,0.25,1.0,0.3903800499921017,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
hybrid_ranker,44,,,,,0.3,0.75,1.0,0.6333518746717375,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_rating_model,44,0.0,0.0,0.0,0.0,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_rating_model,44,,,,,0.0,0.0,0.0,0.0,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_ranking_model,44,0.2,0.25,1.0,0.19519002499605084,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_ranking_model,44,,,,,0.3,0.75,1.0,0.4428328130831785,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
popularity_bayes,45,0.6,0.04918032786885246,1.0,0.6992148198508501,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
popularity_bayes,45,,,,,0.8,0.13114754098360656,1.0,0.8048109992093391,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
genre_personalized_popularity,45,0.6,0.04918032786885246,1.0,0.6548086577531307,,,,,topk_sampled_100_negatives_20260613_135608,2026-06-13 13:56:08,,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
