recommender,userId,precision@5,recall@5,hit_rate@5,ndcg@5,precision@10,recall@10,hit_rate@10,ndcg@10,run_id,run_timestamp,run_label,candidate_mode,negatives_per_user,max_users,users_evaluated,positive_threshold,k_values,include_neumf,include_hybrid,hybrid_weights,diversity_weight,avg_candidates_per_user
popularity_bayes,51,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
popularity_bayes,51,,,,,0.1,0.024390243902439025,1.0,0.06943122193677728,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
genre_personalized_popularity,51,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
genre_personalized_popularity,51,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
random,51,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
random,51,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
item_item_knn,51,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
item_item_knn,51,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
hybrid_ranker,51,0.2,0.024390243902439025,1.0,0.13120507751234178,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
hybrid_ranker,51,,,,,0.1,0.024390243902439025,1.0,0.08514311764162101,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
neumf_rating_model,51,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
neumf_rating_model,51,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
neumf_ranking_model,51,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
neumf_ranking_model,51,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
popularity_bayes,52,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
popularity_bayes,52,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
genre_personalized_popularity,52,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
genre_personalized_popularity,52,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
random,52,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
random,52,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
item_item_knn,52,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
item_item_knn,52,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
hybrid_ranker,52,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
hybrid_ranker,52,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
neumf_rating_model,52,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
neumf_rating_model,52,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
neumf_ranking_model,52,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
neumf_ranking_model,52,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
popularity_bayes,57,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
popularity_bayes,57,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
genre_personalized_popularity,57,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
genre_personalized_popularity,57,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
random,57,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
random,57,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
item_item_knn,57,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
item_item_knn,57,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
hybrid_ranker,57,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
hybrid_ranker,57,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
neumf_rating_model,57,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
neumf_rating_model,57,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
neumf_ranking_model,57,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
neumf_ranking_model,57,,,,,0.1,0.045454545454545456,1.0,0.06362078819895173,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
popularity_bayes,77,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
popularity_bayes,77,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
genre_personalized_popularity,77,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
genre_personalized_popularity,77,,,,,0.0,0.0,0.0,0.0,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
random,77,0.0,0.0,0.0,0.0,,,,,topk_ranking_neumf_full_catalog_smoke_full_catalog_20260604_192753,2026-06-04 19:27:53,ranking_neumf_full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,9598.6
