target,rank,feature,mean_abs_shap
item_knn_score,1,knn_max_similarity,0.14599899824900475
item_knn_score,2,knn_mean_top3_similarity,0.09171715944132326
item_knn_score,3,knn_evidence_count,0.04721580680053623
item_knn_score,4,user_pref::Adventure,0.0078057910516689645
item_knn_score,5,user_pref::Horror,0.006994170875758522
item_knn_score,6,user_pref::IMAX,0.0064663311593990205
item_knn_score,7,user_rating_mean,0.003629379226106774
item_knn_score,8,user_pref::Comedy,0.0027982061948251735
item_knn_score,9,user_pref::Fantasy,0.002658641822224675
item_knn_score,10,user_pref::Drama,0.0022318679338565496
item_knn_score,11,user_pref::Romance,0.002149776072108833
item_knn_score,12,movie_rating_count,0.0021214191802242013
item_knn_score,13,user_pref::Sci-Fi,0.0018493193639330424
item_knn_score,14,user_pref::War,0.0014876431158093756
item_knn_score,15,user_pref::Crime,0.0014307576102667629
item_knn_score,16,user_rating_count,0.0012974255277906244
item_knn_score,17,user_rating_std,0.0011639730531229522
item_knn_score,18,user_pref::Children,0.0009164425081705269
item_knn_score,19,user_pref::Western,0.0009129144997253062
item_knn_score,20,movie_bayesian_rating,0.0008692261123462495
item_knn_score,21,user_pref::Thriller,0.0007926833818100845
item_knn_score,22,user_pref::Documentary,0.0006841355759376021
item_knn_score,23,user_pref::Action,0.000630124162085437
item_knn_score,24,user_pref::Animation,0.0005852480857201774
item_knn_score,25,user_positive_rate,0.0005637391572220228
item_knn_score,26,genre::Drama,0.0005215334187703995
item_knn_score,27,user_pref::Musical,0.00036323432686173406
item_knn_score,28,genre::Action,0.00024624263501061075
item_knn_score,29,user_pref::Film-Noir,0.0002216130998781354
item_knn_score,30,user_pref::Mystery,0.00021861850217032758
item_knn_score,31,genre::Adventure,0.00018744016180847564
item_knn_score,32,movie_rating_mean,0.0001823903316840646
item_knn_score,33,movie_rating_std,0.00016789067429484893
item_knn_score,34,genre::Comedy,0.0001669428089451386
item_knn_score,35,genre::Horror,0.00016412636139031555
item_knn_score,36,release_year,0.00016320386397459394
item_knn_score,37,movie_unique_tag_count,0.0001565154616300171
item_knn_score,38,movie_age,0.00015007434197808576
item_knn_score,39,movie_tag_count,0.00013176671551324125
item_knn_score,40,genre::Thriller,0.00011920485169668196
item_knn_score,41,tag::psychology,0.00010748492641866451
item_knn_score,42,tag::action,9.355421229698792e-05
item_knn_score,43,genre::Crime,8.700247308072473e-05
item_knn_score,44,genre::Fantasy,8.562123050076687e-05
item_knn_score,45,genre::Romance,7.468786914221118e-05
item_knn_score,46,genre::War,7.332180326586884e-05
item_knn_score,47,genre::Sci-Fi,6.365993798845424e-05
item_knn_score,48,genre::IMAX,5.946830874272349e-05
item_knn_score,49,genre::Musical,5.709612527570204e-05
item_knn_score,50,tag::mindfuck,5.315092345791023e-05
item_knn_score,51,genre::Children,4.0726681287149684e-05
item_knn_score,52,tag::thought-provoking,3.302431482681616e-05
item_knn_score,53,tag::sci-fi,3.20575024464803e-05
item_knn_score,54,genre::Animation,3.170195902965747e-05
